timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], fan.speed [%]
2024/12/17 20:00:14.415, 2775 MHz, 10251 MHz, P2, 96 %, 37 %, 11492 MiB, 256.95 W, 44 %
2024/12/17 20:00:14.921, 2775 MHz, 10251 MHz, P2, 97 %, 38 %, 11492 MiB, 257.46 W, 44 %
2024/12/17 20:00:15.424, 2775 MHz, 10251 MHz, P2, 97 %, 36 %, 11493 MiB, 258.07 W, 44 %
2024/12/17 20:00:15.930, 2760 MHz, 10251 MHz, P2, 92 %, 35 %, 11493 MiB, 255.89 W, 44 %
2024/12/17 20:00:16.435, 2775 MHz, 10251 MHz, P2, 92 %, 36 %, 11475 MiB, 252.73 W, 44 %
2024/12/17 20:00:16.938, 2775 MHz, 10251 MHz, P2, 97 %, 38 %, 11196 MiB, 234.91 W, 44 %
2024/12/17 20:00:17.455, 2775 MHz, 10251 MHz, P2, 4 %, 1 %, 11204 MiB, 151.16 W, 45 %
2024/12/17 20:00:17.959, 2775 MHz, 10251 MHz, P2, 10 %, 2 %, 11201 MiB, 69.54 W, 45 %
2024/12/17 20:00:18.464, 2790 MHz, 10251 MHz, P2, 11 %, 2 %, 11199 MiB, 70.25 W, 45 %
2024/12/17 20:00:18.973, 1110 MHz, 5001 MHz, P3, 11 %, 2 %, 11199 MiB, 63.15 W, 45 %
2024/12/17 20:00:19.480, 975 MHz, 5001 MHz, P3, 21 %, 4 %, 11199 MiB, 50.73 W, 45 %
2024/12/17 20:00:19.989, 915 MHz, 5001 MHz, P3, 23 %, 4 %, 11199 MiB, 42.71 W, 45 %
2024/12/17 20:00:20.492, 810 MHz, 5001 MHz, P3, 24 %, 4 %, 11199 MiB, 42.35 W, 44 %
2024/12/17 20:00:21.004, 765 MHz, 5001 MHz, P3, 25 %, 4 %, 11199 MiB, 41.97 W, 44 %
2024/12/17 20:00:21.507, 690 MHz, 5001 MHz, P3, 24 %, 4 %, 11203 MiB, 41.51 W, 44 %
2024/12/17 20:00:22.019, 630 MHz, 5001 MHz, P3, 26 %, 4 %, 11202 MiB, 41.05 W, 43 %
2024/12/17 20:00:22.526, 600 MHz, 5001 MHz, P3, 28 %, 4 %, 11202 MiB, 40.93 W, 42 %
2024/12/17 20:00:23.034, 570 MHz, 5001 MHz, P3, 29 %, 4 %, 11202 MiB, 40.98 W, 42 %
2024/12/17 20:00:23.538, 540 MHz, 810 MHz, P5, 32 %, 4 %, 11202 MiB, 40.46 W, 41 %
2024/12/17 20:00:24.048, 540 MHz, 810 MHz, P5, 40 %, 25 %, 11202 MiB, 37.42 W, 40 %
2024/12/17 20:00:24.551, 540 MHz, 810 MHz, P5, 39 %, 25 %, 11201 MiB, 34.29 W, 39 %
2024/12/17 20:00:25.059, 585 MHz, 810 MHz, P5, 39 %, 24 %, 11200 MiB, 34.18 W, 39 %
2024/12/17 20:00:25.566, 615 MHz, 810 MHz, P5, 38 %, 24 %, 11198 MiB, 34.29 W, 38 %
2024/12/17 20:00:26.074, 615 MHz, 810 MHz, P5, 40 %, 25 %, 11196 MiB, 34.51 W, 37 %
2024/12/17 20:00:26.583, 615 MHz, 810 MHz, P5, 40 %, 26 %, 11195 MiB, 34.53 W, 37 %
2024/12/17 20:00:27.090, 615 MHz, 810 MHz, P5, 39 %, 25 %, 11195 MiB, 34.56 W, 36 %
2024/12/17 20:00:27.597, 630 MHz, 810 MHz, P5, 38 %, 25 %, 11195 MiB, 34.38 W, 36 %
2024/12/17 20:00:28.104, 660 MHz, 810 MHz, P5, 41 %, 26 %, 11195 MiB, 33.96 W, 35 %
2024/12/17 20:00:28.608, 660 MHz, 810 MHz, P5, 40 %, 25 %, 11195 MiB, 33.56 W, 35 %
2024/12/17 20:00:29.119, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11195 MiB, 33.15 W, 34 %
2024/12/17 20:00:29.623, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11195 MiB, 33.11 W, 34 %
2024/12/17 20:00:30.132, 675 MHz, 810 MHz, P5, 40 %, 26 %, 11195 MiB, 32.99 W, 34 %
2024/12/17 20:00:30.638, 675 MHz, 810 MHz, P5, 38 %, 24 %, 11194 MiB, 32.79 W, 33 %
2024/12/17 20:00:31.143, 675 MHz, 810 MHz, P5, 38 %, 24 %, 11194 MiB, 32.76 W, 33 %
2024/12/17 20:00:31.650, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11192 MiB, 32.92 W, 33 %
2024/12/17 20:00:32.158, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11192 MiB, 33.08 W, 33 %
2024/12/17 20:00:32.664, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11191 MiB, 33.12 W, 32 %
2024/12/17 20:00:33.169, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11191 MiB, 33.12 W, 32 %
2024/12/17 20:00:33.674, 660 MHz, 810 MHz, P5, 38 %, 25 %, 11191 MiB, 32.98 W, 32 %
2024/12/17 20:00:34.183, 660 MHz, 810 MHz, P5, 40 %, 25 %, 11191 MiB, 32.84 W, 32 %
2024/12/17 20:00:34.686, 660 MHz, 810 MHz, P5, 37 %, 24 %, 11191 MiB, 32.53 W, 32 %
2024/12/17 20:00:35.195, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11190 MiB, 32.29 W, 31 %
2024/12/17 20:00:35.701, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11190 MiB, 32.26 W, 31 %
2024/12/17 20:00:36.207, 675 MHz, 810 MHz, P5, 40 %, 25 %, 11190 MiB, 32.32 W, 31 %
2024/12/17 20:00:36.718, 675 MHz, 810 MHz, P5, 40 %, 26 %, 11188 MiB, 32.35 W, 31 %
2024/12/17 20:00:37.222, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11186 MiB, 32.35 W, 31 %
2024/12/17 20:00:37.766, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11184 MiB, 32.35 W, 31 %
2024/12/17 20:00:38.270, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.41 W, 30 %
2024/12/17 20:00:38.774, 675 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.39 W, 30 %
2024/12/17 20:00:39.281, 690 MHz, 810 MHz, P5, 40 %, 26 %, 11183 MiB, 32.35 W, 30 %
2024/12/17 20:00:39.785, 690 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.39 W, 30 %
2024/12/17 20:00:40.290, 690 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.36 W, 30 %
2024/12/17 20:00:40.796, 705 MHz, 810 MHz, P5, 40 %, 26 %, 11183 MiB, 32.26 W, 30 %
2024/12/17 20:00:41.299, 705 MHz, 810 MHz, P5, 38 %, 25 %, 11183 MiB, 32.33 W, 30 %
2024/12/17 20:00:41.804, 705 MHz, 810 MHz, P5, 39 %, 26 %, 11183 MiB, 32.34 W, 30 %
2024/12/17 20:00:42.307, 705 MHz, 810 MHz, P5, 38 %, 25 %, 11183 MiB, 32.32 W, 30 %
2024/12/17 20:00:42.815, 705 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.35 W, 30 %
2024/12/17 20:00:43.318, 690 MHz, 810 MHz, P5, 40 %, 26 %, 11183 MiB, 32.31 W, 30 %
2024/12/17 20:00:43.822, 690 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.26 W, 30 %
2024/12/17 20:00:44.326, 690 MHz, 810 MHz, P5, 37 %, 24 %, 11183 MiB, 32.17 W, 30 %
2024/12/17 20:00:44.835, 675 MHz, 810 MHz, P5, 38 %, 24 %, 11183 MiB, 32.18 W, 30 %
2024/12/17 20:00:45.340, 675 MHz, 810 MHz, P5, 38 %, 24 %, 11183 MiB, 32.06 W, 30 %
2024/12/17 20:00:45.845, 660 MHz, 810 MHz, P5, 38 %, 24 %, 11183 MiB, 32.14 W, 30 %
2024/12/17 20:00:46.350, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.15 W, 30 %
2024/12/17 20:00:46.855, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.11 W, 30 %
2024/12/17 20:00:47.358, 660 MHz, 810 MHz, P5, 39 %, 25 %, 11183 MiB, 32.09 W, 30 %
2024/12/17 20:00:47.864, 675 MHz, 810 MHz, P5, 40 %, 25 %, 11183 MiB, 32.15 W, 30 %
2024/12/17 20:00:48.370, 705 MHz, 810 MHz, P5, 40 %, 25 %, 11183 MiB, 32.33 W, 30 %
2024/12/17 20:00:48.878, 720 MHz, 810 MHz, P5, 40 %, 25 %, 11183 MiB, 32.45 W, 30 %
2024/12/17 20:00:49.390, 735 MHz, 810 MHz, P5, 39 %, 26 %, 11183 MiB, 32.68 W, 30 %
2024/12/17 20:00:49.898, 765 MHz, 810 MHz, P5, 40 %, 27 %, 11183 MiB, 32.84 W, 30 %
2024/12/17 20:00:50.401, 765 MHz, 810 MHz, P5, 40 %, 27 %, 11179 MiB, 32.97 W, 30 %
2024/12/17 20:00:50.905, 2790 MHz, 10251 MHz, P2, 92 %, 39 %, 11382 MiB, 74.11 W, 30 %
2024/12/17 20:00:51.419, 2775 MHz, 10251 MHz, P2, 99 %, 37 %, 11495 MiB, 158.19 W, 30 %
2024/12/17 20:00:51.923, 2775 MHz, 10251 MHz, P2, 99 %, 39 %, 11495 MiB, 213.27 W, 30 %
2024/12/17 20:00:52.442, 2790 MHz, 10251 MHz, P2, 10 %, 2 %, 11252 MiB, 165.46 W, 30 %
2024/12/17 20:00:52.945, 2790 MHz, 10251 MHz, P2, 34 %, 5 %, 11251 MiB, 106.32 W, 30 %
2024/12/17 20:00:53.449, 2790 MHz, 10251 MHz, P2, 34 %, 5 %, 11251 MiB, 107.40 W, 30 %
2024/12/17 20:00:53.952, 2445 MHz, 10251 MHz, P2, 34 %, 5 %, 11251 MiB, 98.94 W, 30 %
2024/12/17 20:00:54.472, 2415 MHz, 5001 MHz, P3, 39 %, 5 %, 11251 MiB, 84.04 W, 30 %
2024/12/17 20:00:54.980, 2445 MHz, 10251 MHz, P2, 39 %, 6 %, 11251 MiB, 72.97 W, 30 %
2024/12/17 20:00:55.494, 2445 MHz, 10251 MHz, P2, 38 %, 5 %, 11251 MiB, 72.40 W, 30 %
2024/12/17 20:00:56.004, 2445 MHz, 10251 MHz, P2, 37 %, 5 %, 11251 MiB, 73.19 W, 30 %
2024/12/17 20:00:56.512, 2310 MHz, 5001 MHz, P3, 37 %, 5 %, 11250 MiB, 72.56 W, 30 %
2024/12/17 20:00:57.015, 2445 MHz, 10251 MHz, P3, 39 %, 10 %, 11250 MiB, 69.72 W, 30 %
2024/12/17 20:00:57.523, 2445 MHz, 10251 MHz, P2, 38 %, 5 %, 11249 MiB, 70.05 W, 30 %
2024/12/17 20:00:58.030, 2445 MHz, 10251 MHz, P2, 40 %, 5 %, 11249 MiB, 73.66 W, 30 %
2024/12/17 20:00:58.538, 2445 MHz, 10251 MHz, P2, 39 %, 5 %, 11249 MiB, 74.38 W, 30 %
2024/12/17 20:00:59.041, 2370 MHz, 5001 MHz, P3, 38 %, 5 %, 11249 MiB, 73.23 W, 30 %
2024/12/17 20:00:59.553, 2430 MHz, 10251 MHz, P2, 41 %, 11 %, 11249 MiB, 71.54 W, 30 %
2024/12/17 20:01:00.057, 2430 MHz, 10251 MHz, P2, 40 %, 5 %, 11249 MiB, 72.47 W, 30 %
2024/12/17 20:01:00.571, 2430 MHz, 10251 MHz, P2, 38 %, 5 %, 11249 MiB, 74.36 W, 30 %
2024/12/17 20:01:01.074, 2355 MHz, 5001 MHz, P3, 38 %, 5 %, 11249 MiB, 73.90 W, 30 %
2024/12/17 20:01:01.588, 2445 MHz, 10251 MHz, P2, 41 %, 11 %, 11249 MiB, 71.13 W, 30 %
2024/12/17 20:01:02.091, 2445 MHz, 10251 MHz, P2, 39 %, 5 %, 11249 MiB, 71.33 W, 30 %
2024/12/17 20:01:02.607, 2445 MHz, 10251 MHz, P2, 37 %, 5 %, 11249 MiB, 73.85 W, 30 %
2024/12/17 20:01:03.114, 2445 MHz, 10251 MHz, P2, 39 %, 5 %, 11249 MiB, 73.91 W, 30 %
2024/12/17 20:01:03.624, 2400 MHz, 5001 MHz, P3, 41 %, 11 %, 11249 MiB, 71.48 W, 30 %
2024/12/17 20:01:04.130, 2400 MHz, 5001 MHz, P3, 40 %, 11 %, 11249 MiB, 68.14 W, 30 %
2024/12/17 20:01:04.646, 2490 MHz, 10251 MHz, P2, 36 %, 5 %, 11249 MiB, 70.11 W, 30 %
2024/12/17 20:01:05.149, 2490 MHz, 10251 MHz, P2, 37 %, 5 %, 11249 MiB, 74.37 W, 30 %
2024/12/17 20:01:05.662, 2490 MHz, 10251 MHz, P2, 36 %, 5 %, 11250 MiB, 75.70 W, 30 %
2024/12/17 20:01:06.166, 2325 MHz, 5001 MHz, P3, 37 %, 5 %, 11250 MiB, 74.60 W, 30 %
2024/12/17 20:01:06.682, 2355 MHz, 5001 MHz, P3, 41 %, 11 %, 11250 MiB, 70.68 W, 30 %
2024/12/17 20:01:07.186, 2370 MHz, 5001 MHz, P3, 40 %, 10 %, 11250 MiB, 66.18 W, 30 %
2024/12/17 20:01:07.698, 2490 MHz, 10251 MHz, P2, 40 %, 10 %, 11250 MiB, 67.21 W, 30 %
2024/12/17 20:01:08.203, 2490 MHz, 10251 MHz, P2, 37 %, 5 %, 11250 MiB, 71.72 W, 30 %
2024/12/17 20:01:08.713, 2490 MHz, 10251 MHz, P2, 37 %, 5 %, 11250 MiB, 75.75 W, 30 %
2024/12/17 20:01:09.216, 2490 MHz, 10251 MHz, P2, 37 %, 5 %, 11250 MiB, 75.89 W, 30 %
2024/12/17 20:01:09.728, 2355 MHz, 5001 MHz, P3, 38 %, 5 %, 11250 MiB, 73.58 W, 30 %
2024/12/17 20:01:10.231, 2370 MHz, 5001 MHz, P3, 40 %, 10 %, 11250 MiB, 69.42 W, 30 %
2024/12/17 20:01:10.743, 2370 MHz, 5001 MHz, P3, 40 %, 10 %, 11248 MiB, 66.74 W, 30 %
2024/12/17 20:01:11.248, 2445 MHz, 10251 MHz, P2, 41 %, 11 %, 11227 MiB, 67.93 W, 30 %
2024/12/17 20:01:11.756, 2445 MHz, 10251 MHz, P2, 38 %, 5 %, 11224 MiB, 71.35 W, 30 %
2024/12/17 20:01:12.264, 2445 MHz, 10251 MHz, P2, 39 %, 5 %, 11224 MiB, 73.90 W, 30 %
2024/12/17 20:01:12.767, 2505 MHz, 10251 MHz, P2, 41 %, 6 %, 11222 MiB, 74.75 W, 30 %
2024/12/17 20:01:13.269, 2505 MHz, 10251 MHz, P2, 36 %, 5 %, 11222 MiB, 76.34 W, 30 %
2024/12/17 20:01:13.786, 2505 MHz, 10251 MHz, P2, 37 %, 5 %, 11224 MiB, 76.68 W, 30 %
2024/12/17 20:01:14.289, 2505 MHz, 10251 MHz, P2, 35 %, 5 %, 11224 MiB, 75.96 W, 30 %
2024/12/17 20:01:14.807, 2520 MHz, 10251 MHz, P2, 39 %, 6 %, 11224 MiB, 75.12 W, 30 %
2024/12/17 20:01:15.315, 2520 MHz, 10251 MHz, P2, 38 %, 5 %, 11224 MiB, 76.27 W, 30 %
2024/12/17 20:01:15.822, 2520 MHz, 10251 MHz, P2, 37 %, 5 %, 11224 MiB, 77.74 W, 30 %
